lat0,lon0,tmin_C__delta_after_minus_before,tmax_C__delta_after_minus_before,vpd__delta_after_minus_before,duration__delta_after_minus_before,intensity__delta_after_minus_before,frequency__delta_after_minus_before
-14,33,0.548158108,0.557090153,0.095748316,0.611244019,0.059432667,0.006666667
-14,33.25,0.543357243,0.491907227,0.08679672,0.42,0.075217603,0.06
-14,33.5,0.521239726,0.505005333,0.090378086,0.498823529,0.003119118,0.123333333
-14,33.75,0.487358739,0.426545989,0.081706312,0.997222222,0.045171177,0.01
-14,34,0.407840103,0.496548814,0.087362724,1.110606061,0.057401315,0.12
-14,40,0.676868974,0.730738213,0.090060696,0.651098901,0.065961965,0.196666667
-14,40.25,0.689223543,0.698399231,0.082506302,0.600274725,0.061795789,0.173333333
-14,49.5,0.435942963,0.835676611,0.058333088,0.352380952,0.036846795,0.12
-14,49.75,0.556908975,0.857180063,0.069459778,0.020833333,0.062954746,0.133333333
-13.75,32.75,0.548621427,0.507711753,0.085529696,0.635026738,0.04919166,0.05
-13.75,33,0.538317206,0.477775026,0.086539018,1.023809524,0.066854087,0.003333333
-13.75,33.25,0.47167691,0.439729857,0.083532883,0.383333333,0.025163067,0.056666667
-13.75,33.5,0.508262771,0.49771394,0.091629294,0.620320856,0.018079479,0.056666667
